provinsi;tahun;sektor;kontribusi_sektor;
Aceh;2021;Konstruksi;9.9;
Aceh;2021;Perdagangan;14.3;
Aceh;2021;Transportasi;5.1;
Aceh;2021;Akmamin;1.4;
Aceh;2021;Informasi dan Komunikasi;3.0;
Aceh;2021;Jasa Keuangan;1.9;
Aceh;2021;Real Estat;4.1;
Aceh;2021;Jasa Perusahaan;0.6;
Aceh;2021;Adm. Pemerintahan;10.3;
Aceh;2021;Jasa Pendidikan;3.0;
Aceh;2021;Jasa Kesehatan;3.1;
Aceh;2021;Jasa Lainnya;1.4;
Aceh;2022;Pertanian;29.7;
Aceh;2022;Pertambangan;9.1;
Aceh;2022;Industri;5.2;
Aceh;2022;Pengadaan Listrik;0.1;
Aceh;2022;Pengadaan Air;0.0;
Aceh;2022;Konstruksi;9.1;
Aceh;2022;Perdagangan;14.0;
Aceh;2022;Transportasi;5.5;
Aceh;2022;Akmamin;1.7;
Aceh;2022;Informasi dan Komunikasi;3.0;
Aceh;2022;Jasa Keuangan;1.7;
Aceh;2022;Real Estat;3.9;
Aceh;2022;Jasa Perusahaan;0.6;
Aceh;2022;Adm. Pemerintahan;8.9;
Aceh;2022;Jasa Pendidikan;2.8;
Aceh;2022;Jasa Kesehatan;3.2;
Aceh;2022;Jasa Lainnya;1.4;
Aceh;2023;Pertanian;30.7;
Aceh;2023;Pertambangan;7.5;
Aceh;2023;Industri;4.8;
Aceh;2023;Pengadaan Listrik;0.1;
Aceh;2023;Pengadaan Air;0.0;
Aceh;2023;Konstruksi;9.0;
Aceh;2023;Perdagangan;15.2;
Aceh;2023;Transportasi;6.3;
Aceh;2023;Akmamin;1.8;
Aceh;2023;Informasi dan Komunikasi;2.9;
Aceh;2023;Jasa Keuangan;1.4;
Aceh;2023;Real Estat;3.8;
Aceh;2023;Jasa Perusahaan;0.6;
Aceh;2023;Adm. Pemerintahan;8.8;
Aceh;2023;Jasa Pendidikan;2.6;
Aceh;2023;Jasa Kesehatan;3.1;
Aceh;2023;Jasa Lainnya;1.4;
Aceh;2024;Pertanian;31.0;
Aceh;2024;Pertambangan;7.1;
Aceh;2024;Industri;4.7;
Aceh;2024;Pengadaan Listrik;0.1;
Aceh;2024;Pengadaan Air;0.0;
Aceh;2024;Konstruksi;8.8;
Aceh;2024;Perdagangan;15.0;
Aceh;2024;Transportasi;7.0;
Aceh;2024;Akmamin;1.7;
Aceh;2024;Informasi dan Komunikasi;2.8;
Aceh;2024;Jasa Keuangan;1.7;
Aceh;2024;Real Estat;3.5;
Aceh;2024;Jasa Perusahaan;0.6;
Aceh;2024;Adm. Pemerintahan;9.1;
Aceh;2024;Jasa Pendidikan;2.6;
Aceh;2024;Jasa Kesehatan;3.0;
Aceh;2024;Jasa Lainnya;1.4;
Aceh;2025;Pertanian;32.7;
Aceh;2025;Pertambangan;6.0;
Aceh;2025;Industri;4.8;
Aceh;2025;Pengadaan Listrik;0.1;
Aceh;2025;Pengadaan Air;0.0;
Aceh;2025;Konstruksi;8.2;
Aceh;2025;Perdagangan;15.1;
Aceh;2025;Transportasi;7.0;
Aceh;2025;Akmamin;1.7;
Aceh;2025;Informasi dan Komunikasi;2.6;
Aceh;2025;Jasa Keuangan;1.7;
Aceh;2025;Real Estat;3.6;
Aceh;2025;Jasa Perusahaan;0.6;
Aceh;2025;Adm. Pemerintahan;8.9;
Aceh;2025;Jasa Pendidikan;2.6;
Aceh;2025;Jasa Kesehatan;3.0;
Aceh;2025;Jasa Lainnya;1.4;
Sumatera Utara;2011;Pertanian;25.4;
Sumatera Utara;2011;Pertambangan;1.1;
Sumatera Utara;2011;Industri;21.2;
Sumatera Utara;2011;Pengadaan Listrik;0.2;
Sumatera Utara;2011;Pengadaan Air;0.1;
Sumatera Utara;2011;Konstruksi;11.8;
Sumatera Utara;2011;Perdagangan;17.1;
